epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
1,33,0.24290,68.00000,42.00000,166
1,34,0.23861,65.00000,48.00000,169
1,35,0.23745,64.00000,42.00000,160
1,36,0.23404,77.00000,42.00000,179
1,37,0.22710,61.00000,48.00000,162
1,38,0.22419,71.00000,42.00000,170
1,39,0.23339,85.00000,35.00000,181
1,40,0.23331,76.00000,42.00000,176
1,41,0.23247,74.00000,42.00000,176
1,42,0.23119,69.00000,48.00000,176
1,43,0.22949,71.00000,42.00000,171
1,44,0.22808,57.00000,48.00000,158
1,45,0.22847,75.00000,42.00000,175
1,46,0.23078,73.00000,48.00000,180
1,47,0.23146,64.00000,42.00000,160
1,48,0.23208,62.00000,42.00000,157
1,49,0.23261,78.00000,42.00000,179
1,50,0.22560,73.00000,42.00000,172
1,51,0.22718,51.00000,54.00000,154
1,52,0.22775,60.00000,48.00000,161
1,53,0.23556,63.00000,48.00000,165
1,54,0.22481,69.00000,42.00000,167
1,55,0.22759,61.00000,48.00000,162
1,56,0.22440,49.00000,54.00000,153
1,57,0.22241,72.00000,42.00000,170
1,58,0.22268,63.00000,42.00000,157
1,59,0.22087,75.00000,42.00000,175
1,60,0.22105,85.00000,35.00000,181
1,61,0.21865,75.00000,42.00000,175
1,62,0.23290,61.00000,48.00000,162
1,63,0.21595,68.00000,48.00000,172
1,64,0.21844,65.00000,42.00000,162
1,65,0.22593,53.00000,54.00000,157
2,0,0.21709,73.00000,48.00000,195
2,1,0.21468,75.00000,42.00000,185
2,2,0.21962,65.00000,48.00000,175
2,3,0.22266,77.00000,42.00000,184
2,4,0.21097,69.00000,42.00000,172
2,5,0.22056,75.00000,42.00000,195
2,6,0.21455,64.00000,48.00000,193
2,7,0.22642,60.00000,48.00000,188
2,8,0.21994,75.00000,42.00000,203
2,9,0.22140,78.00000,42.00000,208
2,10,0.22168,62.00000,42.00000,183
2,11,0.21600,67.00000,42.00000,190
2,12,0.21441,57.00000,48.00000,182
2,13,0.21149,75.00000,42.00000,204
2,14,0.22034,56.00000,54.00000,188
2,15,0.20699,93.00000,36.00000,228
2,16,0.21002,67.00000,42.00000,191
2,17,0.21473,65.00000,48.00000,194
2,18,0.22131,62.00000,42.00000,183
2,19,0.21175,59.00000,48.00000,188
2,20,0.21541,71.00000,48.00000,204
2,21,0.21377,63.00000,48.00000,192
2,22,0.22136,63.00000,48.00000,190
2,23,0.20232,91.00000,35.00000,219
2,24,0.21049,67.00000,42.00000,192
2,25,0.20903,73.00000,42.00000,199
2,26,0.20382,69.00000,48.00000,201
2,27,0.20346,72.00000,42.00000,198
2,28,0.21454,80.00000,42.00000,208
2,29,0.20590,83.00000,42.00000,214
2,30,0.22761,49.00000,54.00000,178
2,31,0.21692,75.00000,42.00000,203
2,32,0.20350,75.00000,42.00000,204
2,33,0.20050,77.00000,42.00000,206
2,34,0.20594,63.00000,42.00000,183
2,35,0.21691,84.00000,42.00000,217
2,36,0.19971,91.00000,35.00000,220
2,37,0.19883,73.00000,42.00000,200
2,38,0.21737,55.00000,48.00000,178
2,39,0.20760,63.00000,42.00000,184
2,40,0.21221,63.00000,42.00000,184
2,41,0.20802,61.00000,48.00000,188
2,42,0.21289,50.00000,48.00000,176
2,43,0.21300,72.00000,42.00000,198
2,44,0.20111,69.00000,48.00000,201
2,45,0.20727,71.00000,48.00000,204
2,46,0.19983,93.00000,35.00000,222
2,47,0.21180,63.00000,42.00000,183
2,48,0.22154,57.00000,48.00000,181
2,49,0.19925,61.00000,42.00000,181
2,50,0.19653,93.00000,35.00000,222
2,51,0.18712,67.00000,42.00000,190
2,52,0.19876,71.00000,42.00000,196
2,53,0.20239,73.00000,42.00000,199
2,54,0.19601,72.00000,42.00000,197
2,55,0.19491,72.00000,42.00000,198
2,56,0.19219,63.00000,42.00000,183
2,57,0.19619,75.00000,42.00000,203
2,58,0.20572,62.00000,42.00000,182
2,59,0.19814,63.00000,48.00000,191
2,60,0.19852,67.00000,48.00000,198
2,61,0.19078,69.00000,42.00000,193
2,62,0.21794,60.00000,48.00000,187
2,63,0.19992,72.00000,42.00000,197
2,64,0.18943,82.00000,42.00000,212
2,65,0.19481,69.00000,42.00000,192
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.42647,73.00000,42.00000,945
1,1,0.36527,67.00000,42.00000,191
1,2,0.34189,95.00000,35.00000,232
1,3,0.33047,70.00000,48.00000,203
1,4,0.32086,69.00000,42.00000,194
1,5,0.31416,72.00000,42.00000,198
1,6,0.30899,65.00000,48.00000,194
1,7,0.30067,73.00000,42.00000,199
1,8,0.29801,60.00000,48.00000,188
1,9,0.29658,73.00000,42.00000,200
1,10,0.28867,81.00000,42.00000,213
1,11,0.28311,77.00000,42.00000,206
1,12,0.27863,79.00000,42.00000,210
1,13,0.28164,52.00000,54.00000,183
1,14,0.27428,74.00000,42.00000,202
1,15,0.27192,67.00000,42.00000,191
1,16,0.27144,62.00000,42.00000,183
1,17,0.26512,87.00000,42.00000,227
1,18,0.26847,75.00000,42.00000,203
1,19,0.26296,67.00000,42.00000,191
1,20,0.26557,63.00000,42.00000,183
1,21,0.25678,81.00000,42.00000,212
1,22,0.25714,68.00000,42.00000,194
1,23,0.25399,70.00000,42.00000,195
1,24,0.25250,54.00000,48.00000,180
1,25,0.25148,61.00000,48.00000,189
1,26,0.24713,75.00000,48.00000,212
1,27,0.24962,51.00000,54.00000,181
1,28,0.24368,70.00000,42.00000,196
1,29,0.24485,67.00000,42.00000,191
1,30,0.24348,61.00000,48.00000,189
1,31,0.24474,62.00000,42.00000,184
1,32,0.24151,69.00000,48.00000,202
1,33,0.24267,68.00000,42.00000,193
1,34,0.23832,65.00000,48.00000,194
1,35,0.23747,64.00000,42.00000,187
1,36,0.23358,77.00000,42.00000,207
1,37,0.22688,61.00000,48.00000,190
1,38,0.22380,71.00000,42.00000,197
1,39,0.23308,85.00000,35.00000,211
1,40,0.23310,76.00000,42.00000,206
1,41,0.23218,74.00000,42.00000,203
1,42,0.23095,69.00000,48.00000,202
1,43,0.22924,71.00000,42.00000,197
1,44,0.22769,57.00000,48.00000,182
1,45,0.22799,75.00000,42.00000,204
1,46,0.23022,73.00000,48.00000,208
1,47,0.23120,64.00000,42.00000,187
1,48,0.23177,62.00000,42.00000,183
1,49,0.23251,78.00000,42.00000,207
1,50,0.22533,73.00000,42.00000,199
1,51,0.22706,51.00000,54.00000,179
1,52,0.22702,60.00000,48.00000,188
1,53,0.23504,63.00000,48.00000,192
1,54,0.22460,69.00000,42.00000,193
1,55,0.22643,61.00000,48.00000,189
1,56,0.22394,49.00000,54.00000,177
1,57,0.22170,72.00000,42.00000,197
1,58,0.22184,63.00000,42.00000,183
1,59,0.22057,75.00000,42.00000,203
1,60,0.22064,85.00000,35.00000,209
1,61,0.21796,75.00000,42.00000,204
1,62,0.23228,61.00000,48.00000,188
1,63,0.21515,68.00000,48.00000,200
1,64,0.21754,65.00000,42.00000,188
1,65,0.22527,53.00000,54.00000,184
epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.42647,73.00000,42.00000,931
1,1,0.36527,67.00000,42.00000,191
1,2,0.34157,60.00000,48.00000,186
1,3,0.33197,75.00000,42.00000,204
1,4,0.32089,69.00000,42.00000,195
1,5,0.31420,72.00000,42.00000,198
1,6,0.30907,65.00000,48.00000,196
1,7,0.30084,73.00000,42.00000,201
1,8,0.29809,60.00000,48.00000,189
1,9,0.29868,91.00000,35.00000,221
1,10,0.28872,81.00000,42.00000,213
1,11,0.28318,77.00000,42.00000,207
1,12,0.27847,57.00000,54.00000,191
1,13,0.28050,67.00000,42.00000,191
1,14,0.27796,65.00000,42.00000,188
1,15,0.26905,69.00000,42.00000,195
1,16,0.27382,74.00000,42.00000,203
1,17,0.26505,87.00000,42.00000,227
1,18,0.26815,72.00000,42.00000,199
1,19,0.26301,67.00000,42.00000,192
1,20,0.26562,63.00000,42.00000,184
1,21,0.25627,81.00000,42.00000,213
1,22,0.25699,68.00000,42.00000,194
1,23,0.25388,70.00000,42.00000,197
1,24,0.25247,54.00000,48.00000,180
1,25,0.25126,61.00000,48.00000,189
1,26,0.24728,75.00000,48.00000,211
1,27,0.24952,51.00000,54.00000,180
1,28,0.24390,70.00000,42.00000,195
1,29,0.24497,67.00000,42.00000,190
1,30,0.24351,61.00000,48.00000,190
1,31,0.24480,62.00000,42.00000,183
1,32,0.24149,69.00000,48.00000,201
1,33,0.24267,68.00000,42.00000,194
1,34,0.23842,65.00000,48.00000,194
1,35,0.23737,64.00000,42.00000,187
1,36,0.23382,77.00000,42.00000,206
1,37,0.22691,61.00000,48.00000,188
1,38,0.22392,71.00000,42.00000,197
1,39,0.23318,85.00000,35.00000,211
1,40,0.23316,76.00000,42.00000,205
1,41,0.23236,74.00000,42.00000,201
1,42,0.23098,69.00000,48.00000,200
1,43,0.22927,71.00000,42.00000,197
1,44,0.22792,57.00000,48.00000,182
1,45,0.22838,75.00000,42.00000,203
1,46,0.23060,73.00000,48.00000,207
1,47,0.23144,64.00000,42.00000,186
1,48,0.23182,62.00000,42.00000,183
1,49,0.23253,78.00000,42.00000,207
1,50,0.22539,73.00000,42.00000,199
1,51,0.22704,51.00000,54.00000,179
1,52,0.22746,60.00000,48.00000,187
1,53,0.23541,63.00000,48.00000,190
1,54,0.22468,69.00000,42.00000,192
1,55,0.22729,61.00000,48.00000,188
1,56,0.22426,49.00000,54.00000,178
1,57,0.22231,72.00000,42.00000,197
